sx,sy,px,py,pz,ox,oy,oz,timestamp,trial_id,label,combined_gazePoint2d_isValid,combined_gazePoint3d_isValid,combined_originPoint3d_isValid
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2601,0,,False,False,False
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2632,0,,False,False,False
0.384,0.533,-69,163.52,52.68,-45,94.05,595.05,2649,0,,True,True,True
0.378,0.522,-72.88,166.91,53.91,-45.75,95.74,605.6,2665,0,,True,True,True
0.359,0.423,-84.34,198.15,65.29,-50,104.67,661.51,2682,0,,True,True,True
0.36,0.428,-83.8,196.69,64.75,-50.04,104.8,662.29,2699,0,,True,True,True
0.375,0.513,-74.57,169.7,54.93,-50.02,104.78,663.46,2715,0,,True,True,True
0.376,0.696,-73.75,111.81,33.86,-49.79,103.95,661.38,2732,0,,True,True,True
0.382,0.754,-70.55,93.54,27.21,-49.77,103.8,661.51,2748,0,,True,True,True
0.395,0.854,-62.39,62.15,15.78,-49.81,103.92,663.96,2765,0,,True,True,True
0.395,0.855,-62.36,61.75,15.64,-49.91,104.1,665.25,2782,0,,True,True,True
0.398,0.854,-61.01,61.97,15.72,-49.91,104.07,665.18,2798,0,,True,True,True
0.395,0.857,-62.47,61.18,15.43,-49.89,104.06,665.25,2815,0,,True,True,True
0.399,0.853,-60.05,62.46,15.9,-49.88,104.05,665.24,2832,0,,True,True,True
0.393,0.857,-63.92,60.94,15.34,-49.87,104.05,665.25,2848,0,,True,True,True
0.397,0.856,-61.14,61.27,15.46,-49.87,104.08,665.28,2865,0,,True,True,True
0.397,0.862,-61.53,59.62,14.86,-49.87,104.12,665.3,2882,0,,True,True,True
0.399,0.867,-60.5,57.99,14.27,-49.89,104.14,665.38,2898,0,,True,True,True
0.403,0.873,-57.89,55.87,13.5,-49.94,104.22,665.79,2915,0,,True,True,True
0.4,0.867,-59.39,58.07,14.3,-49.99,104.26,666.13,2932,0,,True,True,True
0.399,0.877,-60.46,54.62,13.04,-50.03,104.25,666.28,2948,0,,True,True,True
0.351,0.985,-88.94,20.6,0.66,-50.22,104.03,666.52,2965,0,,True,True,True
0.355,0.98,-86.29,22.3,1.28,-50.38,104.07,667.34,2982,0,,True,True,True
0.361,0.972,-83.07,24.59,2.11,-15.55,104.93,670.25,2998,0,,False,False,False
0.353,0.984,-87.99,20.9,0.77,-50.42,104.13,667.58,3015,0,,True,True,True
0.355,0.985,-86.56,20.77,0.72,-50.44,104.22,667.93,3031,0,,True,True,True
0.346,0.978,-91.7,22.86,1.48,-15.54,105.1,670.88,3048,0,,False,False,False
0.346,0.995,-92.19,17.39,-0.51,-50.43,104.34,668.35,3065,0,,True,True,True
0.354,0.989,-87.03,19.31,0.19,-50.42,104.35,668.51,3081,0,,True,True,True
